Calculating reading plan...
book, book chapters, book words, book time, chapter, chapter words, chapter time
Ps, 150, 43738, 146, 75, 200, 1
Ps, 150, 43738, 146, 76, 205, 1
Ps, 150, 43738, 146, 77, 340, 2
Ps, 150, 43738, 146, 78, 1228, 5
Ps, 150, 43738, 146, 79, 281, 1
Ps, 150, 43738, 146, 80, 344, 2
Ps, 150, 43738, 146, 81, 298, 1
Ps, 150, 43738, 146, 82, 120, 1
Ps, 150, 43738, 146, 83, 279, 1
Ps, 150, 43738, 146, 84, 239, 1
Ps, 150, 43738, 146, 85, 218, 1
Ps, 150, 43738, 146, 86, 316, 2
Ps, 150, 43738, 146, 87, 122, 1
Ps, 150, 43738, 146, 88, 317, 2
Ps, 150, 43738, 146, 89, 884, 3
Ps, 150, 43738, 146, 90, 328, 2
Ps, 150, 43738, 146, 91, 288, 1
Ps, 150, 43738, 146, 92, 266, 1
Ps, 150, 43738, 146, 93, 92, 1
Ps, 150, 43738, 146, 94, 356, 2
Ps, 150, 43738, 146, 95, 199, 1
Ps, 150, 43738, 146, 96, 226, 1
Ps, 150, 43738, 146, 97, 189, 1
Ps, 150, 43738, 146, 98, 172, 1
Ps, 150, 43738, 146, 99, 157, 1
Ps, 150, 43738, 146, 100, 90, 1
Ps, 150, 43738, 146, 101, 177, 1
Ps, 150, 43738, 146, 102, 472, 2
Ps, 150, 43738, 146, 103, 346, 2
Ps, 150, 43738, 146, 104, 598, 2
Ps, 150, 43738, 146, 105, 632, 3
Ps, 150, 43738, 146, 106, 762, 3
Ps, 150, 43738, 146, 107, 685, 3
Ps, 150, 43738, 146, 108, 212, 1
Ps, 150, 43738, 146, 109, 542, 2
Ps, 150, 43738, 146, 110, 146, 1
Ps, 150, 43738, 146, 111, 177, 1
Ps, 150, 43738, 146, 112, 172, 1
Ps, 150, 43738, 146, 113, 142, 1
